sample_id,target_snr_db,metadata_measured_snr_db,noise_category,waveform_input_snr_db,waveform_output_snr_db,waveform_snr_improvement_db,input_si_snr_db,output_si_snr_db,si_snr_improvement_db,input_stoi,output_stoi,stoi_improvement,input_pesq,output_pesq,pesq_improvement,rms_ratio_enhanced_over_clean,clipping_pct,valid_percep,inference_sec
S0011,-5.0,-5.0,armored_vehicle,-6.9881,3.8589,10.847,-7.0577,3.4887,10.5464,0.531217,0.531715,0.000497,1.163485,1.153985,-0.009501,1.150348,0.0,1,0.0334
S0016,-5.0,-5.0,armored_vehicle,-5.1315,3.4724,8.6039,-5.3648,0.8998,6.2647,0.678523,0.714167,0.035645,1.037153,1.11555,0.078398,0.776555,0.0,1,0.0234
S0019,-5.0,-5.0,armored_vehicle,-3.35,6.4542,9.8042,-3.0919,5.3913,8.4832,0.565741,0.684741,0.119,1.050455,1.240033,0.189578,0.921475,0.0,1,0.0193
S0023,-5.0,-5.0,armored_vehicle,-0.7995,5.2525,6.052,-3.6068,4.2477,7.8545,0.546532,0.600264,0.053732,1.030424,1.183329,0.152905,0.69416,0.0,1,0.0177
S0033,-5.0,-5.0,artillery,5.3561,5.7828,0.4266,9.1463,17.3894,8.243,0.970642,0.972279,0.001637,2.790472,2.69242,-0.098053,0.494859,0.0,1,0.0265
S0045,-5.0,-5.0,artillery,0.2284,2.5163,2.2879,-5.1402,-0.9014,4.2389,0.612022,0.730701,0.118679,1.200272,1.398904,0.198632,0.577177,0.0,1,0.0214
S0053,-5.0,-5.0,drone,-3.1842,0.1008,3.285,-5.5929,-3.3001,2.2928,0.870048,0.866526,-0.003522,1.134869,1.155605,0.020736,1.108317,0.0,1,0.0252
S0071,-5.0,-5.0,drone,-5.3943,7.6492,13.0435,-5.883,6.8568,12.7398,0.818092,0.821559,0.003467,1.099092,1.469793,0.3707,0.881519,0.0,1,0.0216
S0078,-5.0,-5.0,siren,-6.6296,7.0258,13.6555,-6.5447,6.1299,12.6746,0.622213,0.68945,0.067237,1.325104,1.166686,-0.158417,0.944981,0.0,1,0.0322
S0081,-5.0,-5.0,siren,1.3315,3.3579,2.0263,-4.1463,10.1133,14.2597,0.519607,0.668951,0.149344,1.056003,1.368836,0.312833,0.344034,0.0,1,0.0322
S0096,-5.0,-5.0,siren,-3.5749,6.2019,9.7768,-4.9639,5.2176,10.1814,0.476975,0.539991,0.063015,1.040995,1.067093,0.026097,0.969253,0.0,1,0.0299
S0129,-5.0,-5.0,helicopter,-4.0571,4.6212,8.6783,-4.8508,2.8376,7.6884,0.560274,0.735392,0.175119,1.033723,1.152993,0.11927,0.864185,0.0,1,0.0245
S0130,-5.0,-5.0,helicopter,-4.2575,2.6074,6.8649,-4.2098,-0.0686,4.1412,0.679759,0.747258,0.067499,1.186855,1.363602,0.176747,0.915547,0.0,1,0.0387
S0138,-5.0,-5.0,helicopter,-5.1726,3.3469,8.5195,-5.0213,0.65,5.6712,0.664492,0.721528,0.057036,1.03035,1.059428,0.029079,0.725225,0.0,1,0.0347
S0157,-5.0,-5.0,wind,-0.7362,3.7127,4.4489,-5.7831,1.995,7.7781,0.599511,0.69265,0.093139,1.157805,1.141236,-0.01657,0.587414,0.0,1,0.0305
S0164,-5.0,-5.0,wind,-5.8448,8.1307,13.9755,-5.8575,7.4477,13.3052,0.815449,0.774466,-0.040983,1.160132,1.522837,0.362704,0.945541,0.0,1,0.0284
S0194,0.0,0.0,artillery,-1.0214,11.2789,12.3003,-0.9358,10.9489,11.8847,0.845082,0.882673,0.03759,1.30345,1.795356,0.491906,0.971965,0.0,1,0.0296
S0201,0.0,0.0,artillery,-0.6908,3.7393,4.4301,-3.4873,1.7012,5.1885,0.668603,0.724374,0.055771,1.088165,1.205487,0.117322,0.633073,0.0,1,0.0329
S0204,0.0,0.0,artillery,-14.5287,-1.3268,13.2018,-15.1895,-13.7637,1.4258,0.102683,0.081791,-0.020892,1.098616,1.07123,-0.027385,0.831474,0.0,1,0.0298
S0209,0.0,0.0,artillery,2.8831,14.8877,12.0046,2.8781,14.7711,11.893,0.950374,0.987653,0.037279,1.473552,2.703557,1.230005,0.997557,0.0,1,0.0253
S0214,0.0,0.0,artillery,1.2162,9.7313,8.5151,1.134,9.3673,8.2333,0.617624,0.717617,0.099993,1.124146,1.373899,0.249753,0.998502,0.0,1,0.0312
S0234,0.0,0.0,drone,-0.8214,8.0359,8.8573,-0.8585,7.7921,8.6507,0.735439,0.844133,0.108694,1.214406,1.338063,0.123656,1.046928,0.0,1,0.0335
S0242,0.0,0.0,siren,1.9282,5.4565,3.5284,-1.0322,4.4999,5.5321,0.806947,0.853103,0.046155,1.210913,1.278106,0.067194,0.70821,0.0,1,0.0343
S0247,0.0,0.0,siren,1.1793,7.4994,6.3201,1.153,6.8665,5.7135,0.808416,0.845811,0.037396,1.121483,1.283938,0.162455,0.995592,0.0,1,0.0383
S0263,0.0,0.0,siren,0.3837,4.906,4.5223,0.1725,3.7097,3.5372,0.596852,0.652063,0.055211,1.271483,1.427047,0.155564,0.994316,0.0,1,0.0282
S0269,0.0,0.0,gunshot,-0.6408,2.826,3.4668,-0.209,2.8805,3.0895,0.866277,0.890664,0.024388,1.10376,1.197825,0.094065,1.238621,0.0,1,0.03
S0277,0.0,0.0,gunshot,16.2745,18.2849,2.0104,16.2802,18.2774,1.9972,0.954062,0.969436,0.015374,3.278892,3.398995,0.120103,1.00611,0.0,1,0.028
S0278,0.0,0.0,gunshot,0.6247,9.3094,8.6846,0.4387,8.7679,8.3291,0.588296,0.658354,0.070058,1.071519,1.496743,0.425223,0.939057,0.0,1,0.0329
S0281,0.0,0.0,gunshot,-1.3234,9.2099,10.5333,-1.1666,9.0342,10.2008,0.562482,0.586823,0.024341,1.228836,1.483448,0.254612,1.037266,0.0,1,0.0326
S0295,0.0,-0.0,helicopter,0.5686,8.0064,7.4378,0.4965,7.4193,6.9228,0.810341,0.867696,0.057355,1.259912,1.418308,0.158397,0.989945,0.0,1,0.0327
S0296,0.0,0.0,helicopter,1.2679,7.4257,6.1578,0.4437,6.5603,6.1166,0.57573,0.690356,0.114626,1.038693,1.28617,0.247476,0.898786,0.0,1,0.0318
S0305,0.0,0.0,helicopter,0.2099,9.7114,9.5015,0.3039,9.4749,9.171,0.828683,0.893689,0.065006,1.428756,1.621233,0.192477,1.021843,0.0,1,0.0318
S0314,0.0,0.0,wind,5.794,12.6342,6.8402,5.8709,12.4926,6.6217,0.828236,0.899759,0.071524,1.228367,1.996714,0.768347,1.007562,0.0,1,0.0327
S0324,0.0,0.0,wind,3.4043,15.4154,12.0111,3.4001,15.4171,12.017,0.849584,0.89422,0.044636,1.3209,2.298829,0.977928,1.014458,0.0,1,0.0275
S0326,0.0,0.0,wind,1.8447,9.7532,7.9085,0.0311,10.8156,10.7846,0.766048,0.847952,0.081904,1.235505,1.610867,0.375363,0.789765,0.0,1,0.0367
S0332,0.0,-0.0,wind,1.4416,7.6292,6.1876,-0.6002,7.4097,8.0098,0.700029,0.757363,0.057334,1.258263,1.610997,0.352734,0.78231,0.0,1,0.0301
S0340,5.0,5.0,armored_vehicle,1.2735,9.2521,7.9787,1.0664,8.8526,7.7862,0.583761,0.715084,0.131323,1.16349,1.410046,0.246556,1.000295,0.0,1,0.0291
S0342,5.0,5.0,armored_vehicle,0.695,6.0109,5.3158,1.0267,4.7592,3.7324,0.762325,0.814172,0.051847,1.272281,1.418236,0.145955,0.869983,0.0,1,0.0372
S0356,5.0,5.0,armored_vehicle,12.5775,19.5604,6.9828,12.5635,19.6514,7.0879,0.921094,0.927853,0.006759,1.516785,2.388197,0.871412,1.013219,0.0,1,0.0341
S0370,5.0,5.0,artillery,7.1667,16.7774,9.6107,7.1865,16.686,9.4995,0.836249,0.937352,0.101103,2.11955,2.913374,0.793824,0.991341,0.0,1,0.0275
S0377,5.0,5.0,artillery,8.1116,10.7611,2.6495,8.1851,10.6989,2.5138,0.904102,0.910366,0.006264,1.624381,2.11393,0.48955,1.032652,0.0,1,0.0326
S0389,5.0,5.0,drone,5.9125,10.3702,4.4577,5.9285,10.1774,4.2489,0.910923,0.929555,0.018633,1.176233,1.453791,0.277558,1.02031,0.0,1,0.0427
S0402,5.0,5.0,drone,4.8564,17.7297,12.8733,4.8733,17.676,12.8027,0.919824,0.89402,-0.025804,1.550406,2.270189,0.719783,1.000336,0.0,1,0.0308
S0416,5.0,5.0,siren,2.9388,7.0085,4.0696,2.9747,6.0548,3.0801,0.893477,0.900247,0.006771,1.337713,1.66863,0.330917,0.875253,0.0,1,0.028
S0418,5.0,5.0,siren,3.7941,8.9612,5.1671,3.7866,8.6986,4.9121,0.678677,0.689295,0.010618,1.266645,1.332757,0.066113,1.028785,0.0,1,0.049
