epoch,train_si_snr_loss,train_spectral_loss,train_amplitude_loss_db,train_waveform_loss,train_total_loss,train_rms_ratio,train_reconstruction_snr_db,train_clipping_pct,val_si_snr_loss,val_spectral_loss,val_amplitude_loss_db,val_waveform_loss,val_total_loss,val_rms_ratio,val_reconstruction_snr_db,val_clipping_pct,learning_rate,epoch_time_sec,cumulative_time_sec,best_val_loss,best_epoch,patience_counter,val_si_snr_before_db_full,val_si_snr_after_db_full,val_si_snr_improvement_db_full,val_reconstruction_snr_db_full,val_stoi_before,val_stoi_after,val_stoi_improvement,val_pesq_before,val_pesq_after,val_pesq_improvement,val_stoi_n_valid,val_stoi_n_skipped,val_pesq_n_valid,val_pesq_n_skipped
1,9.946706127841026,0.8737648394703865,3.722468935251236,0.047285210313275455,14.3014721134305,1.015099035287276,1.1856514999410137,0.00046875,-5.586604290008545,0.8065997290611268,1.4073258972167968,0.03731857270002365,-2.4918782186508177,1.036340708732605,6.320253871679306,0.0,0.0002,110.15,110.15,-2.4918782186508177,1,0,8.727316887676716,5.586604208052158,-3.140712679624558,6.320254006329131,0.8312980455357512,0.7887281713728411,-0.042569874162910026,1.8219527065753938,1.503617297410965,-0.3183354091644288,100.0,0.0,100.0,0.0
2,-3.311543505638838,0.6390842354297638,3.105684441328049,0.0395608305092901,0.23728766053915024,1.0938327115774156,3.452555147728417,0.00046093750000000003,-6.8308017492294315,0.5276462197303772,2.9772708892822264,0.03573032345622778,-3.623458194732666,0.7614636462926865,5.667337112724781,0.0,0.0002,133.67,243.82,-3.623458194732666,2,0,,,,,,,,,,,,,,
3,-4.506966911107302,0.5379388038814068,3.1401856672763824,0.037915003467351195,-1.1312221938371658,1.108712866473943,3.9626355088828134,0.00025390625,-7.944314448833466,0.5382032263278961,1.6956336402893066,0.0319478041306138,-5.3000308752059935,0.9218966090679168,7.542742010727525,0.0,0.0002,124.62,368.44,-5.3000308752059935,3,0,,,,,,,,,,,,,,
4,-5.0427112480998035,0.489592996686697,2.662373570203781,0.03535621107555926,-1.9865955978631973,1.2493333060853182,4.794063740594429,0.00020703125000000002,-8.642001240253448,0.45898750305175784,1.99266450881958,0.031036803871393202,-6.033374266624451,0.8682847684621811,7.55234949760139,0.0,0.0002,127.85,496.29,-6.033374266624451,4,0,,,,,,,,,,,,,,
5,-5.384136156514287,0.4781319770216942,2.6804487931728365,0.03571274565532803,-2.3162322247028353,1.265179057624191,5.029108643039362,9.375000000000002e-05,-9.003625020980834,0.4388470023870468,2.169484844207764,0.03044743787497282,-6.391560535430909,0.8404778099060058,7.605568306930363,0.0,0.0002,128.34,624.63,-6.391560535430909,5,0,8.727316887676716,9.003624935150146,0.27630804747342985,7.605568350785823,0.8312980455357512,0.8166934612140436,-0.014604584321707526,1.8219527065753938,1.689020414352417,-0.13293229222297676,100.0,0.0,100.0,0.0
6,-5.898536596000195,0.4433035673201084,2.4923916101455688,0.033707613877486435,-3.0221347868442536,1.0098248476907612,5.522244706321508,3.5156250000000004e-05,-9.340193099975586,0.4397929060459137,1.7139245414733886,0.028984683360904456,-6.936988468170166,0.8973742705583573,8.423875381648541,0.0,0.0002,127.67,752.3,-6.936988468170166,6,0,,,,,,,,,,,,,,
7,-6.252574043571949,0.42002220965921877,2.4625932216644286,0.03159063416766003,-3.5142421561479567,1.034390576798469,5.731732920153299,4.6875e-05,-9.747675609588622,0.4470761203765869,1.2755300521850585,0.02675044510513544,-7.580418133735657,0.959241526722908,9.63058611601591,0.0,0.0002,127.87,880.17,-7.580418133735657,7,0,,,,,,,,,,,,,,
8,-6.674899220615625,0.40784275621175764,2.4337386667728422,0.030389879755675794,-4.017440830767154,1.1465661149285733,6.119936241488904,3.5156250000000004e-05,-9.917918395996093,0.39390954494476316,2.053383026123047,0.027495528943836688,-7.533217458724976,0.837307787835598,8.480385472648777,0.0,0.0002,128.36,1008.53,-7.580418133735657,7,1,,,,,,,,,,,,,,
9,-6.399357810914516,0.40125992976129055,2.4192467510700224,0.03140566396759823,-3.7020406410098077,1.0033189847506583,5.969907249949174,7.8125e-05,-10.023299379348755,0.4130606365203857,1.4001836395263672,0.02580802533775568,-7.899782419204712,0.9166420745849609,9.607736486280338,0.0,0.0002,128.37,1136.91,-7.899782419204712,9,0,,,,,,,,,,,,,,
10,-7.026198400855065,0.3914160155504942,2.4503105592727663,0.03089489012025297,-4.354944679141044,1.0070462803915143,6.357233498286514,0.00013281249999999998,-10.20502417564392,0.3768818461894989,1.6602112007141114,0.025374388955533504,-8.061359357833862,0.8674543309211731,9.438105927854776,0.0,0.0002,127.73,1264.64,-8.061359357833862,10,0,8.727316887676716,10.20502414226532,1.4777072545886032,9.438106043648432,0.8312980455357512,0.8147670928795651,-0.016530952656186093,1.8219527065753938,1.6884838366508483,-0.13346886992454543,100.0,0.0,100.0,0.0
11,-7.2390786489844325,0.37350138820707796,2.3534778368473055,0.029207389645744115,-4.699164412021637,1.0002582544647156,6.671774689539452,0.00019921875,-10.176556992530823,0.3587214809656143,1.869637279510498,0.02613130273297429,-7.9503791761398315,0.851327337026596,8.979473601030186,0.0,0.0002,128.75,1393.39,-8.061359357833862,10,1,,,,,,,,,,,,,,
12,-6.950755304098129,0.3724134920537472,2.469517949819565,0.029674929594621063,-4.353739909529686,1.049376340098679,6.272457214994356,0.0001953125,-10.402895622253418,0.35777959525585173,1.9835372924804688,0.02570651700720191,-8.16472906589508,0.8379490864276886,9.030443729758263,0.0,0.0002,128.28,1521.67,-8.16472906589508,12,0,,,,,,,,,,,,,,
13,-7.459990926682949,0.35379792034626006,2.2639187145233155,0.028421430906746536,-5.005945817232132,0.9849693022109568,6.779587729080813,1.953125e-05,-10.661534118652344,0.35276368021965027,1.42777738571167,0.024064672440290452,-8.677203550338746,0.9006279742717743,10.084020726680755,0.0,0.0002,128.25,1649.92,-8.677203550338746,13,0,,,,,,,,,,,,,,
14,-7.411510356962681,0.35644912868738177,2.2175864493846893,0.028829914787784218,-4.948289543092251,0.9486502621136605,6.9764855771535075,0.00022656250000000004,-10.884506196975709,0.3437170082330704,1.5116056060791017,0.024059144500643014,-8.884350514411926,0.8860177612304687,9.97756633773446,0.0,0.0002,128.34,1778.26,-8.884350514411926,14,0,,,,,,,,,,,,,,
15,-8.105681751891971,0.351133414208889,2.3061736071109773,0.028612099858000874,-5.632091189920902,0.9920093472860754,7.2096024504781235,0.00028906250000000004,-10.848781723976135,0.3403350555896759,1.4580968475341798,0.02375732747837901,-8.883151254653932,0.8940268474817276,10.162315937504172,0.0,0.0002,128.44,1906.7,-8.884350514411926,14,1,8.727316887676716,10.848781644385308,2.1214647567085922,10.162316009426538,0.8312980455357512,0.8210957027945142,-0.010202342741236992,1.8219527065753938,1.7782700908184053,-0.04368261575698851,100.0,0.0,100.0,0.0
16,-7.504312295019627,0.342627332508564,2.478663318157196,0.027578885396942497,-5.039141654670239,1.0148219149932265,6.648114961583633,5.859375000000001e-05,-10.84761703491211,0.3425378143787384,1.2959502124786377,0.023198857326060533,-8.956351199150085,0.9180331993103027,10.502582828626037,0.0,0.0002,73.57,1980.28,-8.956351199150085,16,0,,,,,,,,,,,,,,
17,-8.12192922756076,0.33827040694653987,2.2652201414108277,0.02752030914882198,-5.728077272176742,0.9607402031868696,7.344780075913295,0.00012109375000000003,-11.154838411808013,0.3309177190065384,1.3351699256896972,0.02279882652685046,-9.283428373336791,0.8997037121653557,10.613036497633438,0.0,0.0002,84.82,2065.09,-9.283428373336791,17,0,,,,,,,,,,,,,,
18,-7.882818536162376,0.3218671964854002,2.2210403943061827,0.025736279166303576,-5.6078252211213115,0.9855482580326498,7.100883279335685,0.00021875000000000003,-11.057291469573975,0.31988963842391965,1.6259728050231934,0.02363630833104253,-9.067794399261475,0.8645685669779778,9.92259394183755,0.0,0.0002,95.7,2160.79,-9.283428373336791,17,1,,,,,,,,,,,,,,
19,-8.312603957802057,0.32746291540563105,2.0828939521312715,0.026749455209355802,-6.022800043821335,0.9752750883810222,7.729854751566308,9.765625e-05,-11.270248141288757,0.3195058596134186,1.426988763809204,0.02245639480650425,-9.399825811386108,0.8842494496703148,10.582130879163742,0.0,0.0002,95.5,2256.29,-9.399825811386108,19,0,,,,,,,,,,,,,,
20,-8.659448967278003,0.3275185402482748,2.1676198399066924,0.026987999312113972,-6.332244461476803,1.007359473351389,7.7038007339718755,0.0001640625,-11.168823792934418,0.3219993048906326,1.1740123271942138,0.021490210741758345,-9.420110187530518,0.9114445924758912,11.16559254333377,0.0,0.0002,92.75,2349.04,-9.420110187530518,20,0,8.727316887676716,11.168823671489953,2.441506783813237,11.165592615819513,0.8312980455357512,0.8169004082496514,-0.014397637286099774,1.8219527065753938,1.7111812949180603,-0.11077141165733351,100.0,0.0,100.0,0.0
21,-8.054212225675583,0.314450174048543,2.2496620976924895,0.025823707694653423,-5.773677984476089,0.9784860208816827,7.149081682628021,0.00019921875,-11.297297971248627,0.31596097648143767,1.5777881717681885,0.02295092998072505,-9.36045407295227,0.873612551689148,10.218338891267777,0.0,0.0002,89.38,2438.42,-9.420110187530518,20,1,,,,,,,,,,,,,,
22,-8.557354767918588,0.3065475088357925,2.0154984903335573,0.02498802325222641,-6.396756505668163,0.9658777916058898,7.8401856304344255,0.00021484375,-11.391103086471558,0.3261443215608597,0.8874686050415039,0.021163475010544063,-9.74054443359375,0.9711849999427795,11.66418724387884,0.0,0.0002,91.72,2530.14,-9.74054443359375,22,0,,,,,,,,,,,,,,
23,-8.284472351372242,0.3050213348120451,2.1902610623836516,0.025397141869179903,-6.052515620589256,1.0247017878852784,7.339625227553188,3.515625e-05,-11.50228330373764,0.31273083448410033,1.080978832244873,0.021415547877550126,-9.794481449127197,0.9335546642541885,11.366832318902016,0.0,0.0002,92.86,2623.0,-9.794481449127197,23,0,,,,,,,,,,,,,,
24,-8.674602829813956,0.30561992190778253,2.1269312274456023,0.025643009727355094,-6.448752990663052,1.0096919977106154,7.70846215720172,0.00016796874999999996,-11.66057273387909,0.30578425884246824,1.3164744281768799,0.021715446636080743,-9.874073629379273,0.8964087593555451,11.011301210392267,0.0,0.0002,95.71,2718.71,-9.874073629379273,24,0,,,,,,,,,,,,,,
25,-8.67283873487264,0.3067422306537628,2.0761392641067506,0.024992746450006962,-6.493617400527,0.9922242113016546,7.656350232847035,1.953125e-05,-11.571303572654724,0.30440939605236056,1.2817128562927247,0.02125814266502857,-9.819473304748534,0.8983108523488045,11.143446891047061,0.0,0.0002,95.46,2814.17,-9.874073629379273,24,1,8.727316887676716,11.5713035556674,2.8439866679906842,11.14344695315923,0.8312980455357512,0.8116429345308966,-0.01965511100485451,1.8219527065753938,1.7680146968364716,-0.053938009738922155,100.0,0.0,100.0,0.0
26,-8.247728402018547,0.31068617686629296,2.2817787861824037,0.02662393180653453,-5.921311970949173,0.9921043709851801,7.354035610728897,0.00021093750000000002,-11.485953683853149,0.30916199684143064,0.9685816860198975,0.02055987861007452,-9.858223209381103,0.9351502984762192,11.674199730753898,0.0,0.0002,89.42,2903.59,-9.874073629379273,24,2,,,,,,,,,,,,,,
27,-8.691959336102009,0.295695997402072,1.9248863792419433,0.023413885717745872,-6.648103138506412,1.0213982976227998,8.020073569267987,5.0781250000000004e-05,-11.768082296848297,0.30753929615020753,0.9437287902832031,0.0204241337813437,-10.156217889785767,0.9395511394739151,11.887602714374662,0.0,0.0002,93.62,2997.21,-10.156217889785767,27,0,,,,,,,,,,,,,,
28,-9.07905625358224,0.29629475958645346,2.0698095107078553,0.024282319275662302,-6.947702709138394,0.9767376272566617,8.213903304131891,7.8125e-06,-11.753941237926483,0.2979177886247635,1.0519656562805175,0.02057618398219347,-10.111624546051026,0.9263277119398117,11.696276411646977,0.0,0.0002,94.73,3091.93,-10.156217889785767,27,1,,,,,,,,,,,,,,
29,-9.153757886886597,0.2885698751360178,1.985983966588974,0.023793763373978438,-7.079704643785954,0.977461247574538,8.146235614897451,4.2968750000000004e-05,-11.903504369258881,0.3045026135444641,0.8440916919708252,0.019888050146400927,-10.35137146949768,0.9597333857417106,12.158294530510902,0.0,0.0002,93.13,3185.06,-10.35137146949768,29,0,,,,,,,,,,,,,,
30,-8.779884940981866,0.3018284935504198,2.011536213159561,0.02559790064347908,-6.594700583815575,0.9582673854101449,8.18639768825844,0.00018750000000000003,-11.861329127550125,0.292329363822937,1.0423067569732667,0.02012531125918031,-10.25004222869873,0.9224338319897651,11.88383372604847,0.0,0.0002,94.02,3279.08,-10.35137146949768,29,1,8.727316887676716,11.861329221874476,3.1340123341977595,11.883833922167119,0.8312980455357512,0.8245978308284191,-0.006700214707332064,1.8219527065753938,1.7571835315227509,-0.0647691750526429,100.0,0.0,100.0,0.0
31,-8.870341125130654,0.2921133734285831,2.011805701255798,0.024419421774800866,-6.7537149053812024,1.0186765986960382,8.101205417905003,7.8125e-05,-11.610638630390167,0.29763338446617127,1.0499397468566896,0.019586464073508978,-10.018700227737426,0.9114079639315605,11.843193652033806,0.0,0.0002,88.47,3367.55,-10.35137146949768,29,2,,,,,,,,,,,,,,
32,-8.91104864269495,0.2845297221839428,2.0289056634902956,0.023781136029865594,-6.828790423870086,1.0627583803795277,8.07475080667762,9.375000000000002e-05,-11.773349452018739,0.3007883369922638,0.8928472709655761,0.019845016803592443,-10.21245608329773,0.9470843064785004,12.007641123831272,0.0,0.0002,92.21,3459.76,-10.35137146949768,29,3,,,,,,,,,,,,,,
33,-9.577126913070678,0.27797771997749804,1.868654876947403,0.022419132341165094,-7.617596100568772,0.9927338837459684,8.648774205991067,0.00010156250000000001,-12.007075641155243,0.28933178782463076,0.9166821575164795,0.019722484797239304,-10.456615047454834,0.9396688032150269,12.133229320794344,0.0,0.0002,96.17,3555.93,-10.456615047454834,33,0,,,,,,,,,,,,,,
34,-8.678716264367104,0.2884808260202408,1.982265831232071,0.023885700826067478,-6.601270638406277,1.0463837887905538,8.158873852696269,2.7343750000000004e-05,-11.90721575975418,0.28640409171581266,0.8948136234283447,0.020058873873203993,-10.349423961639404,0.946394847035408,12.05509346663952,0.0,0.0002,95.0,3650.93,-10.456615047454834,33,1,,,,,,,,,,,,,,
35,-9.065798149108886,0.28978010222315786,1.8645388984680176,0.024983897323254498,-6.967461500167847,1.0353270894102753,8.407343620187604,0.00018750000000000003,-12.107784311771393,0.3034518444538116,0.7783147144317627,0.020014477651566265,-10.570114278793335,1.010567339360714,12.183288942780345,9.375000000000002e-05,0.0002,97.18,3748.11,-10.570114278793335,35,0,8.727316887676716,12.107784407138825,3.3804675194621083,12.183289081566558,0.8312980455357512,0.8311474733868759,-0.00015057214887526094,1.8219527065753938,1.8272222340106965,0.005269527435302734,100.0,0.0,100.0,0.0
36,-9.72830807685852,0.27110258877277377,1.6782512652873993,0.02195854588178918,-7.855802766084671,0.968941453807056,9.037769562690519,5.4687499999999994e-05,-11.932616711854935,0.2818814694881439,0.9153800964355469,0.019716085102409124,-10.390316905975341,0.9421197265386582,12.108453938513994,0.0,0.0002,91.25,3839.36,-10.570114278793335,35,1,,,,,,,,,,,,,,
37,-8.90462392181158,0.2811773398518562,2.074219049215317,0.024522550022229552,-6.775053352713585,1.0967572326771915,8.110752887390554,4.6875e-05,-12.122768405675888,0.2941517841815948,0.843359956741333,0.01963118026033044,-10.594049739837647,1.0072523492574692,12.032426259070634,0.00040625000000000004,0.0002,93.91,3933.27,-10.594049739837647,37,0,,,,,,,,,,,,,,
38,-9.498972343206406,0.26893562987446784,2.0254709112644194,0.022298378399573267,-7.507476444244385,1.023042480442673,8.6125655284198,0.000171875,-12.115283463001251,0.28489784240722654,0.7992036437988281,0.01938402358442545,-10.621423645019531,0.96205202460289,12.364863950908184,0.0,0.0002,95.42,4028.69,-10.621423645019531,38,0,,,,,,,,,,,,,,
39,-9.536161289215087,0.2781454511731863,1.807358798980713,0.023841477553360163,-7.523734314441681,0.9433250585198403,8.786860641096718,4.2968750000000004e-05,-12.120836038589477,0.27354188621044156,1.0236260318756103,0.019651429504156114,-10.557634763717651,0.9299127674102783,12.112212916314602,0.0,0.0002,97.96,4126.65,-10.621423645019531,38,1,,,,,,,,,,,,,,
40,-9.258440871536731,0.27909518986940385,1.8172647154331207,0.024587481720373033,-7.204792120456696,0.9596155662089586,8.51052790414542,8.593750000000001e-05,-12.105763657093048,0.27148724675178526,0.8019900321960449,0.019119472429156303,-10.637705717086792,0.9515216156840325,12.345446034148335,0.0,0.0002,94.97,4221.62,-10.637705717086792,40,0,8.727316887676716,12.105763508826493,3.3784466211497772,12.345446188453188,0.8312980455357512,0.8271385465822375,-0.004159498953513641,1.8219527065753938,1.7650745713710785,-0.05687813520431528,100.0,0.0,100.0,0.0
41,-9.37953055202961,0.27388718590140343,1.8540349459648133,0.023366004361305384,-7.381132626533509,0.975534408017993,8.662661901959218,0.00027734375000000003,-12.113446338176727,0.27484791934490205,0.828002986907959,0.018946414422243832,-10.642876672744752,0.9528722989559174,12.376719481050968,0.0,0.0002,90.25,4311.87,-10.642876672744752,41,0,,,,,,,,,,,,,,
42,-9.294797167181969,0.25833425343036653,1.8030503475666046,0.022194123689550906,-7.385841596126556,0.9736579118855297,8.6110589394439,9.375e-05,-11.934635689258576,0.27642847001552584,0.8308302783966064,0.01914860848337412,-10.451527633666991,0.9527196687459946,12.19240187585354,0.0,0.0002,92.68,4404.55,-10.642876672744752,41,1,,,,,,,,,,,,,,
43,-9.608515476286412,0.2647881555557251,1.8235572648048402,0.02276066323276609,-7.658626980185509,1.0084725210629404,8.88190111757489,6.25e-05,-12.144903521537781,0.2750470727682114,0.7539140701293945,0.018896497692912816,-10.698857440948487,0.9760173338651658,12.335161206424237,6.25e-05,0.0002,93.22,4497.77,-10.698857440948487,43,0,,,,,,,,,,,,,,
44,-9.993828866183758,0.2604767230898142,1.643015775680542,0.021936542852781713,-8.143620259165765,0.9536102892830968,9.361882765833288,0.00012109375,-12.258295211791992,0.27267211556434634,0.7613407707214356,0.01917380213737488,-10.79853087425232,0.9763354125618935,12.490610069930554,3.125e-05,0.0002,95.26,4593.02,-10.79853087425232,44,0,,,,,,,,,,,,,,
45,-9.719594300985337,0.25996352270245554,1.729449669122696,0.02253077838337049,-7.814256892502308,0.9535962160490453,8.99553866725415,4.2968750000000004e-05,-12.272767329216004,0.27303321480751036,0.7564361476898194,0.01886308210901916,-10.829649181365967,0.971065434217453,12.501225817501545,6.25e-05,0.0002,96.67,4689.69,-10.829649181365967,45,0,8.727316887676716,12.272767392247916,3.5454505045711997,12.501225940009029,0.8312980455357512,0.8321830625549503,0.0008850170191991857,1.8219527065753938,1.7687135565280914,-0.0532391500473024,100.0,0.0,100.0,0.0
46,-9.544189593195915,0.2520570212602615,1.8964238607883452,0.02154910790035501,-7.645749984681606,0.9841912436485291,8.700501823758241,0.000125,-12.289778916835784,0.27880814909935,0.8144836807250977,0.019345251359045506,-10.799363050460816,1.0098168110847474,12.133192803114653,0.00043749999999999995,0.0002,89.97,4779.66,-10.829649181365967,45,1,,,,,,,,,,,,,,
47,-9.61982279151678,0.2538734906166792,1.6624349534511567,0.021550352298654617,-7.789701206982135,0.9630225001648068,9.082036483902485,7.8125e-06,-12.179022102355956,0.26209552466869357,0.884333782196045,0.01871829751878977,-10.715711598396302,0.9362239786982536,12.426207709014415,0.0,0.0002,94.95,4874.61,-10.829649181365967,45,2,,,,,,,,,,,,,,
48,-9.741870923638343,0.25544051751494407,1.7818531167507172,0.022238019707147033,-7.839973483681678,0.9714065278414636,8.987428282275795,0.0001640625,-12.397308568954468,0.26062390834093097,0.7601697635650635,0.018295180313289167,-10.993874654769897,0.9551151144504547,12.67166059076786,0.0,0.0002,94.25,4968.86,-10.993874654769897,48,0,,,,,,,,,,,,,,
49,-10.190916254520417,0.25146321035921576,1.8314355063438414,0.02191532392054796,-8.29425618737936,0.9544225330278278,9.085438468474894,4.687500000000001e-05,-12.24912608385086,0.2671811652183533,0.7724454116821289,0.01862056216225028,-10.819183130264282,0.9833916276693344,12.246598910689354,0.0003125,0.0002,93.55,5062.41,-10.993874654769897,48,1,,,,,,,,,,,,,,
