epoch,train_si_snr_loss,train_spectral_loss,train_amplitude_loss_db,train_waveform_loss,train_transparency_loss,train_total_loss,train_rms_ratio,train_reconstruction_snr_db,train_clipping_pct,val_si_snr_loss,val_spectral_loss,val_amplitude_loss_db,val_waveform_loss,val_transparency_loss,val_total_loss,val_rms_ratio,val_reconstruction_snr_db,val_clipping_pct,learning_rate,epoch_time_sec,cumulative_time_sec,best_val_loss,best_epoch,patience_counter,val_si_snr_before_db_full,val_si_snr_after_db_full,val_si_snr_improvement_db_full,val_reconstruction_snr_db_full,val_stoi_before,val_stoi_after,val_stoi_improvement,val_pesq_before,val_pesq_after,val_pesq_improvement,val_stoi_n_valid,val_stoi_n_skipped,val_pesq_n_valid,val_pesq_n_skipped
1,9.914093392705546,0.8740564301609993,3.7207314097881317,0.04728294963017106,0.1995076254149899,14.468024313692004,1.0157682488206774,1.1888887606421485,0.00046875,-5.587347209453583,0.8070525670051575,1.4031482887268067,0.03734722699970007,0.1611742517352104,-2.3308145141601564,1.0389543735980988,6.322086159586906,0.0,0.0002,98.2,98.2,-2.3308145141601564,1,0,8.727316887676716,5.5873472693562505,-3.1399696183204657,6.322086278425189,0.8312980455357512,0.7891082997370106,-0.042189745798740574,1.8219527065753938,1.5049570524692535,-0.3169956541061403,100.0,0.0,100.0,0.0
2,-3.3106020905822517,0.6404661308228969,3.0976802146434785,0.03957841349765658,0.10788127961801365,0.34597007248550654,1.0970002077892422,3.449081692319014,0.00047265624999999993,-6.858489837646484,0.5275514543056488,2.9128035736083984,0.035639394521713254,0.23860426753759384,-3.4365232753753663,0.7686372047662735,5.726902181506157,0.0,0.0002,96.96,195.16,-3.4365232753753663,2,0,,,,,,,,,,,,,,
3,-4.5080456790328025,0.5387455114722252,3.1164610171318055,0.0379748819861561,0.10493915523635224,-1.0306785813719035,1.1166804822161793,3.961354432650842,0.00026953125,-7.955951027870178,0.5410889184474945,1.6478090286254883,0.03187733329832554,0.15278308898210524,-5.173869729042053,0.9297268068790436,7.604768543541431,0.0,0.0002,108.36,303.53,-5.173869729042053,3,0,,,,,,,,,,,,,,
4,-5.072135475277901,0.49130958750844,2.642639946937561,0.03537290465086698,0.09513665015110746,-1.9242519734054804,1.255681910160929,4.7980304534966125,0.00020703125,-8.630103905200958,0.46614610314369204,1.8499627017974853,0.03073791116476059,0.15968511655926704,-5.912388157844544,0.8872175818681717,7.754154804348945,0.0,0.0002,114.16,417.68,-5.912388157844544,4,0,,,,,,,,,,,,,,
5,-5.3996148531138894,0.4808670425415039,2.6598508167266846,0.035702281547710296,0.10325155310158152,-2.232426873277873,1.2765134392492472,5.041587536362931,0.00014453125000000002,-8.958452606201172,0.4430081868171692,2.1455510330200194,0.030410188734531402,0.17548934876918793,-6.175780291557312,0.8418962728977203,7.629370751306414,0.0,0.0002,104.33,522.02,-6.175780291557312,5,0,8.727316887676716,8.958452605307102,0.23113571763038543,7.629370935918819,0.8312980455357512,0.8179129013436993,-0.013385144192051834,1.8219527065753938,1.6858908224105835,-0.13606188416481024,100.0,0.0,100.0,0.0
6,-5.913455954939127,0.4472725588083267,2.4624836945533755,0.03361499425489455,0.08249013416352682,-2.9641984103620054,1.016918637342751,5.563076770367334,3.90625e-05,-9.291994619369508,0.44340203404426576,1.6671821689605713,0.028830085378140212,0.14372550517320634,-6.763208270072937,0.9016452831029892,8.491760144382715,0.0,0.0002,97.33,619.34,-6.763208270072937,6,0,,,,,,,,,,,,,,
7,-6.277652289867401,0.4250154798477888,2.4260941839218138,0.03147719454020262,0.08110490032471716,-3.469843892082572,1.0435721556097268,5.766557876806473,9.765625e-05,-9.814312868118286,0.4497783350944519,1.136411657333374,0.0265211958065629,0.10215633809566498,-7.595394840240479,0.9796551424264908,9.894554266035557,0.0,0.0002,99.81,719.16,-7.595394840240479,7,0,,,,,,,,,,,,,,
8,-6.717772242426872,0.4115281218290329,2.4069043505191803,0.0302965169493109,0.07306662203511223,-3.9962802893295883,1.1510467205569148,6.1585966198740065,1.5625e-05,-9.936481466293335,0.39882216811180116,2.008155632019043,0.027190815899521114,0.15925881400704384,-7.4164129161834715,0.8389328598976136,8.610432266369463,0.0,0.0002,99.48,818.63,-7.595394840240479,7,1,,,,,,,,,,,,,,
9,-6.416660761237145,0.403844637721777,2.4262294292449953,0.031361812949180605,0.08689175887906458,-3.6299648659303783,1.0143675870075821,5.968932554133935,0.00014062500000000002,-10.08845458984375,0.4113101243972778,1.316320037841797,0.02549100985750556,0.11772805660963058,-7.8899698829650875,0.9261337155103684,9.805092343539,0.0,0.0002,100.53,919.16,-7.8899698829650875,9,0,,,,,,,,,,,,,,
10,-7.050709377527237,0.39407050639390945,2.4228505539894103,0.030753962183371186,0.09403136893408373,-4.298054234683514,1.0125436472892761,6.404774080771022,0.0001328125,-10.232268567085265,0.3822896420955658,1.5017425060272216,0.02492900922894478,0.12811097323894502,-8.024894680976868,0.8862768983840943,9.669226720258594,0.0,0.0002,102.25,1021.41,-8.024894680976868,10,0,8.727316887676716,10.232268608510495,1.5049517208337786,9.669226809838774,0.8312980455357512,0.8182447598020388,-0.013053285733712339,1.8219527065753938,1.7129124009609222,-0.10904030561447153,100.0,0.0,100.0,0.0
