sample_id,noisy_filename,clean_filename,noise_filename,noise_category,target_snr_db,measured_snr_db,snr_error_db,duration_sec,sample_rate,channels,bit_depth,clean_rms,noise_rms_before_scaling,noise_scaling_factor,flag_large_snr_error,gender,age_group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
S0001,S0001_snr_-5dB_armored_vehicle.wav,male_0777.wav,kave_msri-tank-moving-sfx-319878.mp3,armored_vehicle,-5,-5.0,0.0,4.16,16000,1,16,0.046681,0.339226,0.23828243,False,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
S0002,S0002_snr_-5dB_armored_vehicle.wav,male_0508.wav,mixkit-tractor-driving-away-1599.wav,armored_vehicle,-5,-5.0,-0.0,3.3712,16000,1,16,0.060158,0.128802,2.04775748,False,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
S0003,S0003_snr_-5dB_armored_vehicle.wav,male_0896.wav,the-sound-of-driving-inside-the-tank.mp3,armored_vehicle,-5,-5.0,0.0,4.1998,16000,1,16,0.020996,0.119043,0.19384084,False,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
S0004,S0004_snr_-5dB_armored_vehicle.wav,male_0923.wav,freesound_community-chugging-diesel-bus-and-rev-23478.mp3,armored_vehicle,-5,-5.0,0.0,10.4587,16000,1,16,0.079413,0.141161,0.99105651,False,Male,45-60,Nepali,Meghalaya,Ri Bhoi,Post Graduate,Full Time,Education and Research
S0005,S0005_snr_-5dB_armored_vehicle.wav,male_0034.wav,spinopel-delivery-truck-starts-moving-456313.mp3,armored_vehicle,-5,-5.0,0.0,3.8727,16000,1,16,0.172055,0.101154,2.55954247,False,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
S0006,S0006_snr_-5dB_armored_vehicle.wav,male_0484.wav,freesound_community-general-noise-vehicle-interior-73739.mp3,armored_vehicle,-5,-5.0,0.0,4.5999,16000,1,16,0.112273,0.027394,7.45759377,False,Male,30-45,Hindi,Gujarat,Vadodara,Post Graduate,Full Time,Information and Media
S0007,S0007_snr_-5dB_armored_vehicle.wav,male_0086.wav,sound-from-inside-a-damaged-tank-while-driving.mp3,armored_vehicle,-5,-5.0,-0.0,7.2838,16000,1,16,0.108961,0.076646,2.46133138,False,Male,18-30,Assamese,Assam,Kamrup Metropolitan,Post Graduate,Full Time,Education and Research
S0008,S0008_snr_-5dB_armored_vehicle.wav,male_0751.wav,freesound_community-driving-tank-engine-88503 (1).mp3,armored_vehicle,-5,-5.0,0.0,18.0237,16000,1,16,0.111372,0.131287,1.50929171,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0009,S0009_snr_-5dB_armored_vehicle.wav,male_0355.wav,started-engine-of-military-equipment.mp3,armored_vehicle,-5,-5.0,0.0,7.04,16000,1,16,0.143298,0.259224,1.06655019,False,Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
S0010,S0010_snr_-5dB_armored_vehicle.wav,male_0524.wav,the-tank-passes-the-sounds-of-caterpillars.mp3,armored_vehicle,-5,-5.0,-0.0,3.78,16000,1,16,0.100619,0.04002,1.88826484,False,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
