sample_id,noisy_filename,clean_filename,noise_category,target_snr_db,measured_snr_db,duration_sec
S0001,S0001_snr_-5dB_armored_vehicle.wav,male_0777.wav,armored_vehicle,-5,-5.0,4.16
S0002,S0002_snr_-5dB_armored_vehicle.wav,male_0508.wav,armored_vehicle,-5,-5.0,3.3712
S0003,S0003_snr_-5dB_armored_vehicle.wav,male_0896.wav,armored_vehicle,-5,-5.0,4.1998
S0004,S0004_snr_-5dB_armored_vehicle.wav,male_0923.wav,armored_vehicle,-5,-5.0,10.4587
S0005,S0005_snr_-5dB_armored_vehicle.wav,male_0034.wav,armored_vehicle,-5,-5.0,3.8727
S0006,S0006_snr_-5dB_armored_vehicle.wav,male_0484.wav,armored_vehicle,-5,-5.0,4.5999
S0007,S0007_snr_-5dB_armored_vehicle.wav,male_0086.wav,armored_vehicle,-5,-5.0,7.2838
S0008,S0008_snr_-5dB_armored_vehicle.wav,male_0751.wav,armored_vehicle,-5,-5.0,18.0237
S0009,S0009_snr_-5dB_armored_vehicle.wav,male_0355.wav,armored_vehicle,-5,-5.0,7.04
S0012,S0012_snr_-5dB_armored_vehicle.wav,male_0810.wav,armored_vehicle,-5,-5.0,17.8625
S0013,S0013_snr_-5dB_armored_vehicle.wav,male_0419.wav,armored_vehicle,-5,-5.0,4.6111
S0014,S0014_snr_-5dB_armored_vehicle.wav,male_0616.wav,armored_vehicle,-5,-5.0,29.6518
S0015,S0015_snr_-5dB_armored_vehicle.wav,male_0683.wav,armored_vehicle,-5,-5.0,7.16
S0017,S0017_snr_-5dB_armored_vehicle.wav,male_0761.wav,armored_vehicle,-5,-5.0,5.005
S0020,S0020_snr_-5dB_armored_vehicle.wav,male_0337.wav,armored_vehicle,-5,-5.0,11.0451
S0021,S0021_snr_-5dB_armored_vehicle.wav,male_0451.wav,armored_vehicle,-5,-5.0,9.8691
S0022,S0022_snr_-5dB_armored_vehicle.wav,male_0791.wav,armored_vehicle,-5,-5.0,12.6134
S0024,S0024_snr_-5dB_armored_vehicle.wav,male_0468.wav,armored_vehicle,-5,-5.0,3.246
S0025,S0025_snr_-5dB_artillery.wav,male_0623.wav,artillery,-5,-5.0,10.08
S0026,S0026_snr_-5dB_artillery.wav,male_0477.wav,artillery,-5,-5.0,5.8096
S0027,S0027_snr_-5dB_artillery.wav,male_0615.wav,artillery,-5,-5.0,4.9094
S0028,S0028_snr_-5dB_artillery.wav,male_0555.wav,artillery,-5,-5.0,4.48
S0029,S0029_snr_-5dB_artillery.wav,male_0366.wav,artillery,-5,-5.0,6.9768
S0030,S0030_snr_-5dB_artillery.wav,male_0771.wav,artillery,-5,-5.0,6.1779
S0031,S0031_snr_-5dB_artillery.wav,male_0631.wav,artillery,-5,-5.0,3.9613
S0032,S0032_snr_-5dB_artillery.wav,male_0941.wav,artillery,-5,-5.0,3.1482
S0034,S0034_snr_-5dB_artillery.wav,male_0497.wav,artillery,-5,-5.0,4.9081
S0035,S0035_snr_-5dB_artillery.wav,male_0925.wav,artillery,-5,-5.0,11.1945
S0036,S0036_snr_-5dB_artillery.wav,male_0370.wav,artillery,-5,-5.0,3.0561
S0037,S0037_snr_-5dB_artillery.wav,male_0597.wav,artillery,-5,-5.0,7.5834
S0039,S0039_snr_-5dB_artillery.wav,male_0054.wav,artillery,-5,-5.0,3.723
S0041,S0041_snr_-5dB_artillery.wav,male_0057.wav,artillery,-5,-5.0,7.8
S0042,S0042_snr_-5dB_artillery.wav,male_0265.wav,artillery,-5,-5.0,3.8423
S0043,S0043_snr_-5dB_artillery.wav,male_0773.wav,artillery,-5,-5.0,5.5996
S0044,S0044_snr_-5dB_artillery.wav,male_0186.wav,artillery,-5,-5.0,7.0
S0047,S0047_snr_-5dB_artillery.wav,male_0175.wav,artillery,-5,-5.0,4.9706
S0048,S0048_snr_-5dB_artillery.wav,male_0151.wav,artillery,-5,-5.0,5.785
S0049,S0049_snr_-5dB_drone.wav,male_0742.wav,drone,-5,-5.0,4.9999
S0052,S0052_snr_-5dB_drone.wav,male_0966.wav,drone,-5,-5.0,10.1347
S0054,S0054_snr_-5dB_drone.wav,male_0190.wav,drone,-5,-5.0,4.5941
S0055,S0055_snr_-5dB_drone.wav,male_0415.wav,drone,-5,-5.0,27.2279
S0056,S0056_snr_-5dB_drone.wav,male_0590.wav,drone,-5,-5.0,3.4988
S0058,S0058_snr_-5dB_drone.wav,male_0764.wav,drone,-5,-5.0,4.5838
S0059,S0059_snr_-5dB_drone.wav,male_0222.wav,drone,-5,-5.0,7.4704
S0060,S0060_snr_-5dB_drone.wav,male_0587.wav,drone,-5,-5.0,4.0423
S0061,S0061_snr_-5dB_drone.wav,male_0582.wav,drone,-5,-5.0,8.7436
S0062,S0062_snr_-5dB_drone.wav,male_0300.wav,drone,-5,-5.0,4.0818
S0064,S0064_snr_-5dB_drone.wav,male_0387.wav,drone,-5,-5.0,4.3191
S0065,S0065_snr_-5dB_drone.wav,male_0365.wav,drone,-5,-5.0,7.6044
S0066,S0066_snr_-5dB_drone.wav,male_0880.wav,drone,-5,-5.0,3.2664
S0067,S0067_snr_-5dB_drone.wav,male_0335.wav,drone,-5,-5.0,4.6515
S0068,S0068_snr_-5dB_drone.wav,male_0017.wav,drone,-5,-5.0,3.0601
S0069,S0069_snr_-5dB_drone.wav,male_0203.wav,drone,-5,-5.0,3.2712
S0070,S0070_snr_-5dB_drone.wav,male_0002.wav,drone,-5,-5.0,5.0309
S0072,S0072_snr_-5dB_drone.wav,male_0291.wav,drone,-5,-5.0,3.5321
S0073,S0073_snr_-5dB_siren.wav,male_0494.wav,siren,-5,-5.0,9.68
S0074,S0074_snr_-5dB_siren.wav,male_0248.wav,siren,-5,-5.0,4.7341
S0075,S0075_snr_-5dB_siren.wav,male_0507.wav,siren,-5,-5.0,4.8302
S0076,S0076_snr_-5dB_siren.wav,male_0897.wav,siren,-5,-5.0,8.3891
S0077,S0077_snr_-5dB_siren.wav,male_0714.wav,siren,-5,-5.0,3.0636
S0079,S0079_snr_-5dB_siren.wav,male_0077.wav,siren,-5,-5.0,5.74
S0080,S0080_snr_-5dB_siren.wav,male_0912.wav,siren,-5,-5.0,9.8
S0083,S0083_snr_-5dB_siren.wav,male_0178.wav,siren,-5,-5.0,3.6304
S0084,S0084_snr_-5dB_siren.wav,male_0843.wav,siren,-5,-5.0,4.32
S0085,S0085_snr_-5dB_siren.wav,male_0201.wav,siren,-5,-5.0,3.2524
S0086,S0086_snr_-5dB_siren.wav,male_0766.wav,siren,-5,-5.0,16.4629
S0087,S0087_snr_-5dB_siren.wav,male_0910.wav,siren,-5,-5.0,8.72
S0088,S0088_snr_-5dB_siren.wav,male_0294.wav,siren,-5,-5.0,6.1667
S0089,S0089_snr_-5dB_siren.wav,male_0539.wav,siren,-5,-5.0,7.2142
S0090,S0090_snr_-5dB_siren.wav,male_0025.wav,siren,-5,-5.0,3.6433
S0091,S0091_snr_-5dB_siren.wav,male_0695.wav,siren,-5,-5.0,4.3866
S0093,S0093_snr_-5dB_siren.wav,male_0425.wav,siren,-5,-5.0,14.6748
S0094,S0094_snr_-5dB_siren.wav,male_0529.wav,siren,-5,-5.0,8.0501
S0095,S0095_snr_-5dB_siren.wav,male_0035.wav,siren,-5,-5.0,10.24
S0097,S0097_snr_-5dB_gunshot.wav,male_0399.wav,gunshot,-5,-5.0,5.1123
S0098,S0098_snr_-5dB_gunshot.wav,male_0608.wav,gunshot,-5,-5.0,6.3914
S0099,S0099_snr_-5dB_gunshot.wav,male_0299.wav,gunshot,-5,-5.0,6.8691
S0100,S0100_snr_-5dB_gunshot.wav,male_0849.wav,gunshot,-5,-5.0,3.6601
